Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2017-09-01,26055,"Grand Traverse, MI",602,,328200,-0.0333,0.0419,939,0.0129,-0.083,70,0.0145,-0.2708,212,-0.1311,0.0495,14,0.75,0.75,152,-0.0256,-0.038,0,,,459000,-0.0335,0.065,939,0.0129,-0.083,0,0,0
2017-09-01,51740,"Portsmouth city, VA",603,,155500,0.0032,0.0298,761,-0.0231,-0.0013,72,0.0909,-0.027,174,-0.2091,0,8,0.3333,-0.2,204,-0.0556,-0.1207,0,,,172900,0.0111,0.0409,761,-0.0231,-0.0013,0,0,0
2017-09-01,47113,"Madison, TN",604,*,144600,0.0336,0.0921,375,0,-0.2268,74,-0.039,-0.1685,116,0.0175,-0.0938,2,,,86,0.303,-0.0652,180,0.0056,0.1465,192700,0.0321,0.0814,555,0.0018,-0.1355,0.48,0.0027,0.1563
2017-09-01,29037,"Cass, MO",605,,251100,0.0467,0.0932,493,-0.0904,-0.1228,60,0.0714,-0.0323,138,-0.2333,-0.1786,12,-0.3333,0.5,76,-0.3667,-0.1163,5,-0.5,-0.5,315400,0.0375,0.1309,498,-0.0978,-0.1294,0.0101,-0.0083,-0.0077
2017-09-01,37157,"Rockingham, NC",606,,148000,-0.006,0.1429,553,-0.0595,-0.3856,122,0.0796,0.0427,98,0.0426,-0.3553,0,-1,-1,98,-0.1091,-0.1967,10,0.25,0.25,219500,-0.0175,0.1409,563,-0.0554,-0.38,0.0181,0.0045,0.0092
2017-09-01,51085,"Hanover, VA",607,*,349900,0.0095,0.0243,448,-0.011,0.0641,61,0.0339,0.0339,138,-0.0417,-0.0676,38,0.9,3.75,104,-0.2121,-0.037,357,-0.048,177.5,375000,-0.0005,0.0138,805,-0.0278,0.9031,0.7969,-0.0309,0.7921
2017-09-01,47155,"Sevier, TN",608,,250000,0.0004,0.1116,1862,-0.009,-0.2242,93,0.022,-0.1842,358,-0.0677,-0.0272,20,1.5,-0.1667,228,-0.2028,-0.0806,217,0.0333,-0.0726,321500,0.0126,0.1222,2079,-0.0048,-0.2107,0.1165,0.0048,0.019
2017-09-01,26091,"Lenawee, MI",609,,159800,-0.0006,0.005,496,-0.0275,-0.1283,59,-0.0167,-0.1324,112,-0.2113,-0.3171,0,-1,-1,114,-0.0952,-0.0339,8,0,0,193700,0.001,0.066,504,-0.027,-0.1265,0.0161,0.0004,0.0021
2017-09-01,24015,"Cecil, MD",610,,268800,0.0067,0.0756,642,-0.0198,-0.1873,79,0.0533,-0.202,144,-0.1,-0.1325,8,-0.3333,0,136,-0.1605,-0.1807,35,-0.0541,-0.5205,313800,0.0087,0.0398,677,-0.0217,-0.2155,0.0545,-0.002,-0.0379
2017-09-01,49005,"Cache, UT",611,,293500,-0.0074,0.1514,307,0.0233,-0.1725,40,0.0811,-0.0909,124,-0.1389,0.069,4,-0.5,0,110,0.1957,0.375,186,-0.1143,-0.1696,341300,-0.0195,0.1052,493,-0.0333,-0.1714,0.6059,-0.0941,0.0021
